LocationId,TSS Hillslope,TSS Gully,TSS Inchannel,TSS Point,TSS Total,Microbial,Combined
62,4.0643382,1.274766993,1.392580411,1.00016599,2.219093591,3.55177115,5
63,1.079476644,2.192700108,2.360637358,2.43982606,1.045831588,4.007788972,5
64,4.282539507,1.535051664,4.56273145,3.856618439,1.323004079,3.838961307,5
65,3.247186523,2.114214522,1.543983701,4.698740031,3.787516206,4.37973712,5
66,2.961154234,3.850581892,1.488849446,2.370121036,4.221695673,2.702395297,5
67,1.112799305,4.894194387,3.088887827,4.340481298,3.466490208,4.195454875,5
68,4.876900669,3.777477669,4.230217153,3.774014915,2.239349169,3.950555929,5
69,3.262798385,4.174204431,2.263066565,3.62851229,2.958700207,1.766322756,5
70,2.443554937,2.738127157,4.69305855,1.727577285,1.090669601,2.401800245,5
71,2.184854471,2.280100299,4.528528788,2.524518926,3.942149325,1.139114038,5
72,4.156609226,2.23329657,4.88610106,4.868499548,1.514401896,2.892151786,5
73,1.717279838,3.351092349,2.130477354,1.468365751,3.984565808,3.662961894,4
74,4.653503814,2.13650813,3.163235681,2.898159923,2.117052388,4.798568903,5
75,1.927388264,1.938057589,1.920414799,4.873904645,1.134905013,3.760419272,5
76,4.994951361,3.445176888,4.895988828,4.128114517,3.036697704,3.3371384,5
77,1.979850612,2.430148231,2.693858567,1.786671168,2.760310957,3.980035828,4
78,2.758605271,2.261776357,1.990977997,2.103515764,4.779700357,2.35537132,5
79,1.308506905,2.228793561,1.68418508,1.264496562,3.471938553,2.248864322,4
80,4.37511899,2.135766796,2.770153224,4.469962212,4.701812728,3.236970969,5
81,2.178470935,4.630170727,2.503586913,3.532326044,1.620841552,2.650182766,5
82,1.198799078,1.845093265,1.332717662,1.997021446,3.48834857,1.083427938,4
83,2.769853131,1.480536149,1.823841523,4.31271853,3.011445168,2.092908233,5
84,1.641205722,4.917729487,4.544155128,2.803089837,1.097879541,4.773091782,5
85,1.921849701,1.188571908,2.781181649,2.51651518,4.46263139,4.474366709,5
86,3.929344691,3.686204744,3.076988614,3.487089652,1.668011588,1.827867156,4
87,2.573559542,2.408060686,2.903259097,2.798578868,3.717700531,4.224440941,5
88,2.090128472,1.999970613,1.176116336,1.019510391,3.89377615,2.432975445,4
89,4.009821818,2.335234253,4.214440835,1.656622105,4.634851652,1.878579595,5
90,1.495226483,3.709669375,3.55961487,4.290370512,1.877923745,1.255732631,5
91,3.667459817,2.232689159,2.926757068,3.382333367,3.226307501,4.437699802,5
92,1.154695395,2.945075742,1.880221182,3.08587002,4.170128133,3.892595962,5
93,2.999119181,2.284617771,3.43046512,2.324928006,1.409273428,2.491860767,4
94,2.919234204,4.414561996,3.554764803,4.712513371,2.446072038,1.829181122,5
95,3.185062682,3.016002713,1.008736484,3.422331629,1.433818953,2.514512322,4
96,4.876824285,1.585567063,4.968844566,4.925056122,4.181116159,4.195391745,5
97,4.347534066,3.390234487,1.65945981,4.089515049,1.576476882,3.802182054,5
98,1.963266203,3.177932296,3.007102517,3.281623122,2.241016112,2.054554252,4
99,3.39378622,3.839785006,2.182712304,3.365315793,1.701943027,2.761976417,4
100,4.151951539,4.90499303,3.877095969,4.281515072,4.12904466,4.030869608,5
101,1.812300036,1.102360003,3.160829071,3.742068744,1.440402076,1.857406943,4
102,4.057596023,2.279961347,3.539528488,1.457267286,1.998827174,1.69799069,5
103,2.824708293,2.995070334,1.679455859,3.864857602,3.662703258,2.413826267,4
104,2.757411398,4.817346701,4.90004709,1.410861559,2.500699612,2.618780211,5
105,3.208762497,1.313880199,2.96687783,3.327265781,3.527905331,1.44855734,4
106,2.72640905,1.947355036,3.890623257,4.330136841,3.807874672,4.739020948,5
107,2.476259594,3.200108376,2.244875479,3.363083701,3.42440432,2.469876056,4
108,2.993707614,2.754885599,4.304476627,4.568030647,2.296347112,1.437117474,5
109,4.565212842,3.748624706,1.302507627,1.240992785,3.895888409,3.402504487,5
110,2.894892384,4.532075274,2.681449763,2.515930508,3.900467796,4.525490698,5
111,2.241353191,2.217112168,1.271160615,2.132435087,4.578687338,2.703053858,5
112,1.258051175,1.260858723,1.817888985,2.927562177,2.852427172,1.845517009,3
113,3.733589145,1.631295305,3.720404018,3.715298579,4.154613862,4.49887754,5
114,3.31726583,3.32969317,4.887187844,4.680523116,2.507564474,2.445330928,5
115,1.821903214,2.381499363,2.579963834,4.573764133,3.833051393,3.679029023,5
116,4.86275205,4.872990991,1.801557451,1.600931045,1.988995417,4.602040827,5
117,4.938545589,3.577406151,3.573643503,1.96506298,3.585018715,4.722702437,5
118,4.195023271,1.318390958,2.064218821,4.810276615,3.490084832,3.756553074,5
119,4.13539154,4.55063575,2.033995688,1.582474132,4.52415174,2.105607276,5
120,4.050362739,2.699778128,1.608515716,4.174244441,3.943473986,3.188278974,5
121,2.434769504,4.18622616,1.683538405,4.831855899,4.777713895,4.04023947,5
122,4.701098802,1.934343845,4.747917771,4.399906938,3.867805509,3.955385408,5
123,3.611880908,4.132940601,2.609335499,2.313354595,4.422862086,3.272633531,5
124,1.541444182,3.080424623,3.154483242,1.407453519,2.056012353,1.012996855,4
125,1.814691752,1.955133482,4.311738726,3.396549034,2.517143382,4.150130943,5
126,3.957284818,4.020196934,2.889331774,2.834048911,1.451138177,4.170354167,5
127,4.452003198,1.588787099,4.377392636,1.945715835,1.70437278,1.014581038,5
128,4.938251911,2.23788675,4.157293111,3.871943355,2.182165037,2.943658641,5
129,1.648744479,1.859904134,1.077111204,2.614567628,4.371872086,4.128821924,5
130,2.26458842,4.832250738,2.149267367,1.841588522,1.695334972,1.413845025,5
131,3.815720569,2.406103408,1.47229266,1.045053452,1.716565701,4.520711601,5
132,4.629098409,3.841339866,4.964808142,2.134465281,3.869033393,4.143358895,5
133,3.53644767,1.901739615,3.608127339,3.393022199,1.863640196,3.521388325,4
134,3.140042022,1.588027855,1.828565255,3.444257493,3.569339209,3.234831189,4
135,3.034767046,1.377939325,3.572063261,4.163943953,3.627239837,4.944520407,5
136,2.961323329,1.904276212,1.617077333,3.574794101,2.622210574,4.20939893,5
137,3.735668695,3.683977388,2.686784946,4.954688396,1.221188673,2.317810564,5
138,3.89375813,1.63477558,3.637428711,4.311671854,4.468284052,4.759437006,5
139,3.648823188,2.646580027,2.936809715,2.498565491,3.679906624,4.362429971,5
140,1.134253419,3.176335719,1.193363169,1.460658238,4.916887126,1.331570904,5
141,2.770596324,3.364029266,3.016774889,1.25810416,1.05641015,4.551426774,5
142,2.922257717,3.937330514,1.739241139,4.406055988,3.008152825,2.575772744,5
143,2.958513471,2.335255459,2.987435772,4.195399367,4.184204007,2.914099927,5
144,1.02808427,3.621870798,2.404287948,3.339260909,2.828817334,1.80092201,4
145,2.024159189,3.789544116,4.540909881,3.625697927,3.417712799,1.398427885,5
146,3.097864065,3.246611154,4.964056762,2.841534512,4.229886866,1.184436069,5
147,4.239184305,4.414486783,4.854515604,4.128859272,2.015865685,3.728832918,5
148,2.932181464,2.34748722,4.283631085,4.690064439,2.328922142,2.810298539,5
149,1.56954439,2.052164367,2.764110016,4.961635531,4.599666649,4.717658777,5
150,4.00754144,2.147105767,3.54623224,2.46214666,1.964147533,4.151999044,5
151,4.88976299,2.400401008,3.904207114,2.996530739,4.011826509,1.118787678,5
152,3.949165574,3.81785882,2.490161065,2.070899097,1.562794066,2.066560172,4
153,2.011325828,1.754940072,4.593770608,2.642884748,3.503445776,3.697634802,5
154,3.188610595,2.401266295,2.234065453,3.258763551,1.248043022,1.463939171,4
155,4.176817593,1.33994479,3.225174624,4.653169374,4.673118156,1.499690718,5
156,2.388253386,2.913015596,2.194536339,4.370666487,4.93414705,2.218339406,5
157,1.297234443,1.562684406,1.561146639,3.548933735,2.706955464,1.809439116,4
158,2.175289723,3.575369177,2.55272744,1.40723219,1.439626596,1.247941802,4
159,3.527478084,3.847567335,2.064082776,2.144150222,2.642616536,4.771127351,5
160,4.489790467,1.073336598,2.368416687,4.766071359,4.558767196,3.696777411,5
161,2.339651695,4.34412288,2.771390114,1.713869891,3.644328613,2.720525709,5
162,1.08642101,3.148715035,2.665503239,3.285386098,3.018395564,2.111193111,4
163,3.520754509,1.054863669,2.17515396,3.160629508,4.861498789,4.082956824,5
164,4.820321747,3.370956291,2.279650105,4.819676711,1.414969819,1.330741498,5
165,2.483930959,3.282535508,1.23169152,2.162159169,3.609344055,2.052564331,4
166,2.25711899,1.528306044,4.576510908,4.664635467,2.788218413,4.215522933,5
167,1.299048279,3.75923829,1.829459317,4.046570325,4.67418635,1.086105311,5
168,3.510871285,2.158132616,4.764869927,4.088939185,2.882032236,2.587522991,5
169,3.192844602,3.815541442,3.942558407,1.363178167,3.374771911,2.15102465,4
170,4.002644534,4.202586812,1.664587739,1.765378998,1.21267144,2.339145317,5
171,1.765995433,3.769067267,4.092307622,4.881115202,3.529291193,1.895282406,5
172,3.380868197,2.509739576,1.273590111,1.36840143,3.01996935,2.093379408,4
173,3.684896514,1.430371756,4.346741853,2.662047226,2.037290416,3.049383423,5
174,4.153994876,3.495942954,2.642415798,4.864270436,2.653341063,4.927720222,5
175,2.989278786,2.771448386,1.707582393,4.897672477,2.131576059,3.178821016,5
176,2.783265455,1.782947954,1.255833785,4.679784623,3.984132578,4.025612174,5
177,3.685176005,3.248704178,2.543920933,4.932921048,3.143932338,4.212440588,5
178,1.968163533,2.041766675,2.096570948,1.653056251,1.883366289,3.93386703,4
179,2.530657747,2.673417813,2.743177361,4.82866363,1.535576571,2.813901146,5
180,4.561654391,1.783002688,1.812157545,4.278684352,4.233594251,1.064259493,5
181,2.534539456,2.944542408,1.849982641,1.895776059,2.181835383,4.980442996,5
182,3.845908507,2.369459407,4.016847151,1.979924969,4.14312732,4.282336154,5
183,2.741013606,2.707186402,1.464760441,4.731652223,2.045031898,1.875069089,5
184,3.520799648,2.844010812,2.044386043,2.58127202,1.210819856,4.120467645,5
185,1.801376605,2.861007362,4.692738109,1.085864192,1.909679154,2.923876273,5
186,4.569406626,1.327077155,1.273664365,2.273724722,1.999909049,3.106009277,5
187,2.67326257,3.104052842,2.218077116,2.469555818,3.927185804,3.304486796,4
188,2.28777417,2.337131153,3.795141236,4.702772565,3.902325952,2.005427298,5
189,4.754347045,2.12164862,4.974106523,4.901217288,2.98363766,2.322388459,5
190,3.25104124,4.938309783,1.174335451,2.899011167,4.747626869,3.877718173,5
191,4.648032197,2.455358865,4.319859122,1.146611965,3.131199231,4.229396221,5
192,1.911014328,2.945007064,1.344902875,4.18630343,4.725409509,4.845067263,5
193,4.131890502,3.980470399,2.396536681,4.767296325,4.607580047,4.534962585,5
194,4.073225026,3.379578957,4.762113156,2.735203304,3.913407658,3.315648936,5
195,1.431998676,2.301082896,2.856768024,3.974027757,2.079959321,4.078875755,5
196,3.425649707,3.508829312,1.031722877,2.461847198,3.541494293,4.520463052,5
197,2.695768712,2.039795974,2.446827604,4.1529901,1.305736669,3.474456164,5
198,4.111113291,2.889968321,3.140233561,2.493290564,3.067761627,2.13703792,5
199,1.04535866,2.484907244,2.897909867,1.457416239,1.786446413,1.592528426,3
200,1.141008745,3.577890197,2.167016556,2.714705883,2.741986604,4.099380121,5
201,3.13348655,4.634587988,4.341492091,2.434448495,2.88958106,2.164837468,5
202,3.09039212,3.315687674,1.415225651,1.148671645,2.706262221,4.937355018,5
203,2.415340668,3.373683908,1.419695787,2.277045703,3.101133483,1.442666007,4
204,2.131974027,2.809942755,3.828334062,3.372475792,2.76280023,4.686375154,5
205,4.492782287,4.548665773,2.460972525,2.416697981,1.097111459,3.545250536,5
206,3.745488428,2.813079089,1.725184682,1.10657997,3.460265346,4.289180155,5
207,4.425281046,1.193881042,2.931884452,4.942354436,4.074949722,4.182425195,5
