LocationId,Alternate water and shade,Contour/ swale,Fencing,Pond,Riparian buffer – grassed,Riparian buffer – wooded,Wetland,In-stream bank stabilisation,Gully stabilisation,Hillslope stabilisation,Stream crossing works,Erosion control matting,Catch drains,On-site system programs
93,,,,,,,855000,,200000,,810000,,,
94,,,,,,3465000,,,,,,,,
95,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,
97,,,,,,,760000,,,,,,,
98,1715000,,,,,,,,,60000,,,,
99,,,,,,,,,,,,75000,,
100,,,,,,1680000,570000,,,,,,40000,
101,,,,,,,95000,,,,,,,
102,,,,,,,95000,,,,,,,
103,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,
105,,,,,,1540000,,,,,,,,
106,,,,,,,,,,,,,40000,
107,,,,,,,,,,,,,,
108,,,,,,,,,320000,,,,,
109,,,,,,,,,,,,,40000,
110,,,,,510000,,,,,,,,,
111,,,,,,,,,,160000,,,,
112,,,,,,,,,,,,,,
113,,,,,,,,1920000,,,,,,
114,,225000,,,1410000,,,6480000,,,,,,
115,,,,,,210000,,,,,,,,
116,,,,,795000,,,,,,,,,
117,,325000,,,,,,,,,,210000,,
118,,,3501000,,,,,,,,,,,
119,,,,,,,665000,,,,,,,
120,,,,,,,,,,,,,,
121,,,7614000,,,,,,,,,,,
122,,,,,,,,,80000,180000,,,,
123,,,,,,,,,,,,,,62500
124,,,,,,,380000,,200000,,,,,
125,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,
128,,,1503000,,,,,,,,,,,
129,,,,,,,,,,,,,40000,
130,,,4914000,,,,,,360000,,,,,
131,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,
133,,,2943000,,,,,,360000,,,,,
134,,,,,,3255000,,,,,,,,
135,,,,200000,,,,,240000,,,,,
136,,,4563000,,,,,,,,,,,
137,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,
141,,,7524000,,,,,,,,,,,
142,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,
145,,,,200000,,,,,,,,,,
146,1260000,,,100000,,,,,,,,,,
147,,1125000,,,,,,,,,360000,,,
148,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,
150,,,,,,,,,280000,,,,,
151,,,,,,,,,,,,,,
152,875000,,,,,,,,,,720000,,,
153,490000,,,,,,,,,,810000,,40000,
154,,,8478000,,,,,,,,,,,
155,,,2358000,,,,,,,,,,,
156,,,,,,,,,,40000,90000,,,
157,,,,,,,,,,,,,,
158,,,,,,,,,200000,,,,,
159,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,
161,,,2124000,,,1400000,,,,100000,,,,
162,,,,,,,,,,20000,630000,,,
163,,,,,,,,,,,,,,
164,,,,,,1050000,,,160000,,,,,
165,,,2763000,,,,,,,,,,,
166,,,4113000,,,,,,,120000,,225000,,
167,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,
169,,,1701000,,,,,,,,,,,
170,,,,,,,380000,,,,,,,
171,,,1413000,,,,,,,,,,,
172,1610000,600000,,,,,,,,160000,,,,
173,,,,,,,,,,,,,,
174,,,,,195000,,,,,,,,,
175,,,,,,,,,,,,,,
176,,425000,,,,,,,,,,,40000,
177,,,,,,,,,240000,,,,,
178,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,
180,,,,,,,,,,,90000,,,
181,,,3483000,,,,,,,,540000,,,
182,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,
184,,50000,,,,,285000,,,,,,,
185,,,,,,,,,,,,,,
186,,,,,,,,,,60000,630000,75000,,
187,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,
192,,,,,,,,,,160000,,,,
193,,,,,,,,,,,,,,
194,,,,,,,,,,180000,,,,
195,,,,,,,,,,,,,,
196,,,8217000,,,,,,,,,,,
197,,,3294000,,,,,,160000,20000,,,,
198,,,,,,,,,,,,,,
199,,,,,,,285000,,,,,,,
200,,,5157000,,,,,,,140000,,,,
201,,,,,,,,,,40000,,,,
202,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,
204,,1500000,,,,,,,,,,,,
205,,1925000,,,,1505000,,,,,,,,
206,,,,,,,,,80000,,,,,
207,,,,,,,95000,,,,,,,
