LocationId,Alternate water and shade,Contour/ swale,Fencing,Pond,Riparian buffer – grassed,Riparian buffer – wooded,Wetland,In-stream bank stabilisation,Gully stabilisation,Hillslope stabilisation,Stream crossing works,Erosion control matting,Catch drains,On-site system programs
100,,,,,,48,6,,,,,,1,
101,,,,,,,1,,,,,,,
102,,,,,,,1,,,,,,,
103,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,
105,,,,,,44,,,,,,,,
106,,,,,,,,,,,,,1,
107,,,,,,,,,,,,,,
108,,,,,,,,,8,,,,,
109,,,,,,,,,,,,,1,
110,,,,,34,,,,,,,,,
111,,,,,,,,,,8,,,,
112,,,,,,,,,,,,,,
113,,,,,,,,16,,,,,,
114,,9,,,94,,,54,,,,,,
115,,,,,,6,,,,,,,,
116,,,,,53,,,,,,,,,
117,,13,,,,,,,,,,14,,
118,,,389,,,,,,,,,,,
119,,,,,,,7,,,,,,,
120,,,,,,,,,,,,,,
121,,,846,,,,,,,,,,,
122,,,,,,,,,2,9,,,,
123,,,,,,,,,,,,,,1
124,,,,,,,4,,5,,,,,
125,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,
128,,,167,,,,,,,,,,,
129,,,,,,,,,,,,,1,
130,,,546,,,,,,9,,,,,
131,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,
133,,,327,,,,,,9,,,,,
134,,,,,,93,,,,,,,,
135,,,,4,,,,,6,,,,,
136,,,507,,,,,,,,,,,
137,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,
141,,,836,,,,,,,,,,,
142,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,
145,,,,4,,,,,,,,,,
146,36,,,2,,,,,,,,,,
147,,45,,,,,,,,,4,,,
148,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,
150,,,,,,,,,7,,,,,
151,,,,,,,,,,,,,,
152,25,,,,,,,,,,8,,,
153,14,,,,,,,,,,9,,1,
154,,,942,,,,,,,,,,,
155,,,262,,,,,,,,,,,
156,,,,,,,,,,2,1,,,
157,,,,,,,,,,,,,,
158,,,,,,,,,5,,,,,
159,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,
161,,,236,,,40,,,,5,,,,
162,,,,,,,,,,1,7,,,
163,,,,,,,,,,,,,,
164,,,,,,30,,,4,,,,,
165,,,307,,,,,,,,,,,
166,,,457,,,,,,,6,,15,,
167,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,
169,,,189,,,,,,,,,,,
170,,,,,,,4,,,,,,,
171,,,157,,,,,,,,,,,
172,46,24,,,,,,,,8,,,,
173,,,,,,,,,,,,,,
174,,,,,13,,,,,,,,,
175,,,,,,,,,,,,,,
176,,17,,,,,,,,,,,1,
177,,,,,,,,,6,,,,,
178,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,
180,,,,,,,,,,,1,,,
181,,,387,,,,,,,,6,,,
182,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,
184,,2,,,,,3,,,,,,,
185,,,,,,,,,,,,,,
186,,,,,,,,,,3,7,5,,
187,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,
192,,,,,,,,,,8,,,,
193,,,,,,,,,,,,,,
194,,,,,,,,,,9,,,,
195,,,,,,,,,,,,,,
196,,,913,,,,,,,,,,,
197,,,366,,,,,,4,1,,,,
198,,,,,,,,,,,,,,
199,,,,,,,3,,,,,,,
200,,,573,,,,,,,7,,,,
201,,,,,,,,,,2,,,,
202,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,
204,,60,,,,,,,,,,,,
205,,77,,,,43,,,,,,,,
206,,,,,,,,,2,,,,,
207,,,,,,,1,,,,,,,
